brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
15607.0,for_sale,629900.0,4.0,3.0,0.29,1497829.0,Middleton,Idaho,83644.0,2995.0,2022-05-11
58970.0,sold,799000.0,4.0,4.0,0.37,1204371.0,Olney,Maryland,20832.0,3096.0,2022-04-13
81226.0,for_sale,30900.0,,,0.63,1340723.0,Wisconsin Rapids,Wisconsin,54494.0,,
52349.0,for_sale,42500.0,,,4.26,209696.0,Pleasant Hill,Missouri,64080.0,,2013-02-15
287.0,for_sale,269900.0,3.0,2.0,0.17,1475150.0,Corpus Christi,Texas,78414.0,1660.0,2005-10-04
96791.0,for_sale,75000.0,,,3.23,647139.0,Odessa,Texas,79763.0,,
96325.0,for_sale,526000.0,2.0,2.0,0.04,367452.0,Winter Garden,Florida,34787.0,1375.0,
22454.0,for_sale,575000.0,3.0,3.0,2.16,1013656.0,Crestwood,Kentucky,40014.0,3400.0,
81604.0,for_sale,137000.0,2.0,2.0,,927916.0,Central Point,Oregon,97502.0,1440.0,
33968.0,for_sale,275000.0,,,0.23,1316000.0,Woodstock,Georgia,30188.0,,
56008.0,for_sale,249900.0,,,10.0,488279.0,Conroe,Texas,77303.0,,
70732.0,sold,435000.0,3.0,3.0,0.25,314840.0,Moore,Oklahoma,73170.0,2329.0,2022-04-22
83392.0,sold,747000.0,4.0,3.0,0.11,1272328.0,Riverside,California,92505.0,2400.0,2022-03-29
8309.0,for_sale,499900.0,2.0,3.0,107.0,487854.0,Big Clifty,Kentucky,42712.0,2070.0,
90546.0,for_sale,539900.0,4.0,3.0,0.5,960691.0,Lehigh Acres,Florida,33971.0,2399.0,2010-12-20
104099.0,for_sale,250000.0,3.0,1.0,0.15,245810.0,Biola,California,93606.0,1026.0,2009-04-02
45809.0,for_sale,299000.0,4.0,3.0,0.39,940757.0,North Royalton,Ohio,44133.0,2510.0,2014-02-11
52634.0,for_sale,31000.0,,,0.23,1900487.0,North Port,Florida,34286.0,,1995-04-18
56419.0,sold,340000.0,3.0,2.0,0.22,1031330.0,Worcester,Massachusetts,1609.0,1436.0,2021-11-24
88426.0,sold,16000.0,1.0,1.0,0.14,1682817.0,Monticello,Georgia,31064.0,,2022-01-28
10382.0,sold,425000.0,2.0,2.0,0.03,1352301.0,Oxnard,California,93033.0,1152.0,2021-11-12
68089.0,for_sale,1388888.0,3.0,2.0,0.14,841777.0,San Jose,California,95148.0,1457.0,2000-01-04
56257.0,for_sale,204500.0,3.0,2.0,1.9,1779899.0,Elba,Alabama,36323.0,1913.0,2019-12-06
22247.0,for_sale,25000.0,,,0.84,715357.0,Pendleton,Oregon,97801.0,,
57595.0,for_sale,240820.0,3.0,3.0,,1718980.0,Wonder Lake,Illinois,60097.0,1760.0,
30768.0,for_sale,259900.0,2.0,1.0,0.12,1190850.0,Minneapolis,Minnesota,55413.0,1489.0,2012-01-24
48832.0,for_sale,460000.0,3.0,3.0,0.26,1686938.0,Collinsville,Texas,76233.0,2449.0,
87297.0,for_sale,440000.0,4.0,2.0,,1665767.0,Saint Johns,Florida,32259.0,1642.0,2019-12-27
60010.0,ready_to_build,466995.0,3.0,,,25432.0,Washington Township,Ohio,45458.0,2558.0,
101052.0,for_sale,254900.0,4.0,3.0,0.18,853981.0,McAllen,Texas,78504.0,1999.0,2020-06-16
35062.0,ready_to_build,274990.0,3.0,,,615965.0,Cleveland,Texas,77327.0,1681.0,
52004.0,for_sale,378000.0,3.0,3.0,0.08,299529.0,Chicago,Illinois,60608.0,2208.0,
15807.0,sold,305000.0,3.0,2.0,0.34,1078781.0,Richland Hills,Texas,76118.0,1796.0,2022-02-18
20997.0,for_sale,599000.0,4.0,2.0,0.09,1311295.0,Malden,Massachusetts,2148.0,1820.0,2002-03-01
7876.0,sold,1095000.0,3.0,3.0,0.08,452770.0,Berkeley,California,94703.0,1206.0,2022-05-03
60307.0,sold,199900.0,2.0,2.0,0.23,1113260.0,Spring Grove,Illinois,60081.0,1417.0,2022-03-16
104454.0,sold,410000.0,3.0,2.0,0.11,834321.0,Goodyear,Arizona,85338.0,1328.0,2022-03-25
72500.0,ready_to_build,422900.0,3.0,,,1275621.0,Pflugerville,Texas,78660.0,1848.0,
16829.0,for_sale,1698000.0,3.0,3.0,0.11,1160078.0,Oakland,California,94610.0,2659.0,2015-07-08
87946.0,for_sale,469900.0,3.0,3.0,1.0,1716524.0,Manassas,Virginia,20112.0,2231.0,2015-07-13
63859.0,sold,295000.0,4.0,3.0,0.23,873064.0,Oklahoma City,Oklahoma,73127.0,2645.0,2022-01-20
10669.0,for_sale,434155.0,4.0,3.0,,392079.0,Suffolk,Virginia,23434.0,2374.0,
65903.0,for_sale,1538000.0,4.0,3.0,0.23,431018.0,Lake Oswego,Oregon,97035.0,3662.0,2017-09-01
22123.0,for_sale,389900.0,3.0,3.0,1.08,173539.0,Mansfield,Georgia,30055.0,1978.0,2022-08-10
53524.0,for_sale,400000.0,3.0,2.0,2.16,265170.0,Lawrenceville,Georgia,30045.0,2300.0,1988-06-01
30250.0,for_sale,79900.0,,,0.24,746837.0,Cape Coral,Florida,33991.0,,2004-12-22
22611.0,sold,1099999.0,6.0,2.0,0.24,1512968.0,San Diego,California,92111.0,1768.0,2022-03-07
19503.0,for_sale,99900.0,3.0,2.0,0.11,391664.0,Bossier City,Louisiana,71111.0,2091.0,
53016.0,sold,294990.0,3.0,3.0,,1690850.0,Houston,Texas,77051.0,1900.0,2022-01-07
35386.0,sold,244900.0,3.0,,,1484624.0,Cudahy,Wisconsin,53110.0,,2022-03-09
55445.0,for_sale,120000.0,,,10.0,1959314.0,Lake Butler,Florida,32054.0,,2017-10-03
81330.0,sold,375000.0,3.0,2.0,0.3,116650.0,Lindsay,Texas,76250.0,1896.0,2022-04-21
90744.0,for_sale,29900.0,,,0.23,1984239.0,Lake Elsinore,California,92530.0,,
106243.0,sold,750000.0,6.0,4.0,,433474.0,Saint Johns,Florida,32259.0,3911.0,2022-01-18
71240.0,for_sale,908000.0,4.0,3.0,0.12,1561360.0,Rancho Cucamonga,California,91701.0,1871.0,2022-02-28
